IW8,MW2,QW2,IW4
53593,55295,0,0
53663,55295,0,0
53733,55295,0,0
53803,55295,0,0
53873,55295,0,0
53944,55295,0,0
54014,55295,0,0
54084,55295,0,0
54154,55295,0,0
54225,55295,0,0
54295,55295,0,0
54365,55295,0,0
54436,55295,0,0
54506,55295,0,0
54576,55295,0,0
54646,55295,0,0
54717,55295,0,0
54787,55295,0,0
54857,55295,0,0
54927,55295,0,0
54997,55295,0,0
55067,55295,0,0
55137,55295,0,0
55207,55295,0,0
55277,55295,0,0
55346,55295,32640,0
55416,55295,65535,32640
55479,55295,65535,65535
55398,55295,65535,65535
55176,55295,0,65535
54955,55295,0,0
54747,55295,0,0
54817,55295,0,0
54887,55295,0,0
54957,55295,0,0
55027,55295,0,0
55097,55295,0,0
55167,55295,0,0
55236,55295,0,0
55306,55295,7040,0
55375,55295,58239,7040
55443,55295,65535,58239
55471,55295,65535,65535
55279,55295,55295,65535
55057,55295,0,55295
54838,55295,0,0
54673,55295,0,0
54743,55295,0,0
54812,55295,0,0
54881,55295,0,0
54951,55295,0,0
55019,55295,0,0
55088,55295,0,0
55157,55295,0,0
55225,55295,0,0
55293,55295,0,0
55361,55295,42239,0
55429,55295,65535,42238
55489,55295,65535,65535
55364,55295,65535,65535
55140,55295,0,65535
54917,55295,0,0
54707,55295,0,0
54775,55295,0,0
54843,55295,0,0
54910,55295,0,0
54977,55295,0,0
55038,55295,0,0
55086,55295,0,0
55117,55295,0,0
55123,55295,0,0
55101,55295,0,0
55064,55295,0,0
55026,55295,0,0
54989,55295,0,0
54952,55295,0,0
54914,55295,0,0
54877,55295,0,0
54840,55295,0,0
54802,55295,0,0
54765,55295,0,0
54728,55295,0,0
54690,55295,0,0
54653,55295,0,0
54616,55295,0,0
54579,55295,0,0
54542,55295,0,0
54505,55295,0,0
54468,55295,0,0
54431,55295,0,0
54394,55295,0,0
54357,55295,0,0
54320,55295,0,0
54283,55295,0,0
54247,55295,0,0
54210,55295,0,0
54173,55295,0,0
54137,55295,0,0
54100,55295,0,0
54064,55295,0,0
54027,55295,0,0
53991,55295,0,0
53955,55295,0,0
53919,55295,0,0
53883,55295,0,0
53847,55295,0,0
53811,55295,0,0
53775,55295,0,0
53739,55295,0,0
53703,55295,0,0
53668,55295,0,0
53632,55295,0,0
53597,55295,0,0
53562,55295,0,0
53527,55295,0,0
53492,55295,0,0
53457,55295,0,0
53422,55295,0,0
53389,55295,0,0
53363,55295,0,0
53348,55295,0,0
53351,55295,0,0
53382,55295,0,0
